Species,Height,Diameter,Leaf_area,CO2,Canopy_size
Platanus x hispanica,12.0,33.0,268.6,8.5,78.5
Platanus x hispanica,11.0,22.0,161.0,4.7,50.3
Platanus x hispanica,6.0,7.0,4.3,0.9,1.8
Platanus x hispanica,12.0,32.0,265.7,8.2,78.5
Platanus x hispanica,11.0,21.0,158.1,4.4,63.6
Platanus x hispanica,12.0,28.0,286.3,6.7,78.5
Platanus x hispanica,11.0,22.0,196.7,4.7,63.6
Platanus x hispanica,12.0,29.0,300.9,7.1,95.0
Platanus x hispanica,8.0,15.0,42.8,2.7,23.8
Celtis australis,4.0,7.0,2.2,0.5,0.8
Celtis australis,6.0,13.0,20.0,0.7,12.6
