Species,Height,Diameter,Leaf_area,Canopy_size,CO2
Celtis australis,6.0,20.0,21.9,12.6,1.0
Celtis australis,6.0,20.0,19.1,12.6,1.0
Celtis australis,6.0,20.0,19.1,12.6,1.0
Celtis australis,6.0,20.0,19.1,12.6,1.0
Celtis australis,6.0,18.0,21.1,12.6,0.9
Celtis australis,6.0,20.0,24.7,12.6,1.0
Celtis australis,6.0,20.0,20.5,12.6,1.0
Celtis australis,6.0,22.0,25.6,12.6,1.1
Celtis australis,5.0,11.0,18.9,12.6,0.7
Celtis australis,5.0,9.0,9.7,7.1,0.6
Celtis australis,5.0,11.0,14.5,12.6,0.7
Celtis australis,5.0,11.0,16.7,12.6,0.7
Celtis australis,4.5,9.0,10.0,7.1,0.6
Celtis australis,5.0,10.0,14.0,9.6,0.6
Celtis australis,5.0,9.0,8.5,7.1,0.6
Celtis australis,4.5,12.0,11.0,7.1,0.7
Celtis australis,4.5,12.0,11.0,7.1,0.7
Celtis australis,4.5,12.0,10.4,7.1,0.7
Celtis australis,4.5,12.0,10.4,7.1,0.7
Celtis australis,4.5,12.0,9.1,7.1,0.7
Celtis australis,5.0,13.0,32.6,19.6,0.7
Celtis australis,4.5,12.0,11.0,7.1,0.7
Celtis australis,4.5,12.0,11.0,7.1,0.7
Celtis australis,4.5,12.0,11.0,7.1,0.7
Celtis australis,4.5,12.0,9.1,7.1,0.7
Celtis australis,4.5,12.0,11.0,7.1,0.7
Celtis australis,4.5,12.0,9.8,7.1,0.7
Celtis australis,4.5,12.0,11.0,7.1,0.7
Celtis australis,4.5,12.0,10.4,7.1,0.7
Celtis australis,4.5,10.0,8.0,7.1,0.6
Celtis australis,5.0,11.0,11.1,7.1,0.7
Celtis australis,5.0,11.0,11.1,7.1,0.7
Celtis australis,5.0,11.0,17.8,12.6,0.7
Celtis australis,6.0,12.0,20.7,12.6,0.7
Celtis australis,4.0,12.0,8.2,7.1,0.7
Celtis australis,8.0,25.0,73.2,28.3,1.2
Celtis australis,8.0,25.0,56.4,28.3,1.2
Celtis australis,8.0,19.0,62.7,28.3,1.0
Celtis australis,8.0,21.0,57.0,28.3,1.0
Celtis australis,8.0,21.0,68.9,28.3,1.0
Celtis australis,8.0,21.0,53.0,28.3,1.0
Celtis australis,8.0,21.0,61.0,28.3,1.0
Celtis australis,8.0,20.0,52.1,28.3,1.0
