Species,Height,Diameter,Canopy_size,Leaf_area,CO2
Carpinus betulus,5.0,10.0,4.9,10.2,1.7
Carpinus betulus,5.0,11.0,7.1,14.0,1.9
Carpinus betulus,4.5,8.0,4.9,7.4,1.3
Carpinus betulus,4.5,9.0,4.9,10.1,1.5
Carpinus betulus,5.0,10.0,3.1,8.0,1.7
Platanus x hispanica,5.0,12.0,7.1,11.8,2.0
Platanus x hispanica,7.0,22.0,28.3,69.3,4.7
Platanus x hispanica,7.0,21.0,28.3,64.2,4.4
Platanus x hispanica,7.0,18.0,28.3,64.5,3.5
Platanus x hispanica,7.0,19.0,28.3,58.2,3.8
Platanus x hispanica,5.0,13.0,7.1,10.8,2.2
Platanus x hispanica,8.0,16.0,28.3,61.1,3.0
Platanus x hispanica,13.0,33.0,78.5,309.1,8.5
Platanus x hispanica,12.0,33.0,78.5,268.6,8.5
Platanus x hispanica,11.0,22.0,50.3,161.0,4.7
Platanus x hispanica,6.0,7.0,1.8,4.3,0.9
Platanus x hispanica,12.0,32.0,78.5,265.7,8.2
Platanus x hispanica,11.0,21.0,63.6,158.1,4.4
Platanus x hispanica,12.0,28.0,78.5,286.3,6.7
Platanus x hispanica,11.0,22.0,63.6,196.7,4.7
Platanus x hispanica,12.0,29.0,95.0,300.9,7.1
Platanus x hispanica,8.0,15.0,23.8,42.8,2.7
Celtis australis,4.0,7.0,0.8,2.2,0.5
Celtis australis,6.0,13.0,12.6,20.0,0.7
Celtis australis,6.0,14.0,12.6,20.6,0.8
Platanus x hispanica,10.0,19.0,63.6,193.2,3.8
Platanus x hispanica,12.0,28.0,78.5,220.5,6.7
Platanus x hispanica,12.0,31.0,78.5,296.8,7.8
Platanus x hispanica,8.0,18.0,38.5,92.5,3.5
Platanus x hispanica,8.0,18.0,50.3,136.1,3.5
Platanus x hispanica,11.0,22.0,50.3,161.0,4.7
Platanus x hispanica,11.0,24.0,63.6,190.4,5.3
Platanus x hispanica,11.0,24.0,63.6,215.2,5.3
Platanus x hispanica,10.0,21.0,50.3,144.5,4.4
Platanus x hispanica,12.0,24.0,95.0,281.4,5.3
Platanus x hispanica,11.0,29.0,78.5,219.2,7.1
Platanus x hispanica,7.0,18.0,38.5,88.9,3.5
Tilia cordata,10.0,25.0,50.3,189.1,3.8
Tilia cordata,10.0,19.0,50.3,142.0,2.6
Tilia cordata,7.0,16.0,12.6,29.2,2.1
Tilia cordata,7.0,16.0,12.6,25.8,2.1
Tilia cordata,7.0,17.0,28.3,60.7,2.3
Tilia cordata,6.0,14.0,12.6,24.7,1.7
Tilia cordata,6.0,13.0,12.6,21.1,1.6
Tilia cordata,6.0,13.0,28.3,63.7,1.6
Tilia cordata,7.0,15.0,28.3,70.1,1.9
Tilia cordata,7.0,14.0,38.5,100.1,1.7
Tilia cordata,8.0,18.0,38.5,113.8,2.4
Tilia cordata,4.0,6.0,0.8,3.0,0.6
Tilia cordata,6.0,13.0,12.6,25.5,1.6
Tilia cordata,5.0,6.0,1.8,4.4,0.6
Tilia cordata,6.0,10.0,4.9,8.0,1.1
Tilia cordata,2.5,7.0,0.8,2.1,0.7
Tilia cordata,4.5,12.0,12.6,20.1,1.4
Tilia cordata,4.0,10.0,3.1,6.3,1.1
Tilia cordata,4.0,10.0,3.1,6.3,1.1
Tilia cordata,6.5,19.0,12.6,23.2,2.6
Tilia cordata,4.0,8.0,1.8,4.5,0.8
Tilia cordata,5.5,16.0,19.6,33.3,2.1
Tilia cordata,5.5,16.0,28.3,66.9,2.1
Tilia cordata,4.0,7.0,0.8,3.1,0.7
Tilia cordata,4.0,7.0,0.8,3.1,0.7
Tilia cordata,6.0,18.0,28.3,55.0,2.4
Tilia cordata,5.5,16.0,19.6,40.7,2.1
Tilia cordata,4.0,7.0,0.8,3.1,0.7
Tilia cordata,4.0,7.0,1.8,3.3,0.7
Tilia cordata,4.0,7.0,1.8,3.8,0.7
Tilia cordata,5.0,17.0,19.6,43.0,2.3
Tilia cordata,5.0,17.0,19.6,35.6,2.3
Tilia cordata,4.0,12.0,7.1,11.3,1.4
Tilia cordata,4.0,18.0,12.6,25.4,2.4
Platanus x hispanica,5.0,10.0,4.9,7.9,1.5
Platanus x hispanica,5.0,10.0,4.9,7.4,1.5
Platanus x hispanica,6.0,14.0,3.1,7.1,2.4
Platanus x hispanica,6.0,14.0,3.1,7.1,2.4
Platanus x hispanica,5.0,13.0,1.8,4.4,2.2
Platanus x hispanica,6.0,13.0,3.1,7.3,2.2
Platanus x hispanica,6.0,13.0,3.1,7.3,2.2
Platanus x hispanica,7.0,13.0,7.1,13.1,2.2
Platanus x hispanica,7.0,13.0,7.1,11.5,2.2
Platanus x hispanica,7.0,13.0,7.1,13.9,2.2
Platanus x hispanica,4.0,10.0,4.9,6.9,1.5
Platanus x hispanica,6.0,10.0,4.9,8.4,1.5
Platanus x hispanica,5.0,15.0,7.1,12.1,2.7
Platanus x hispanica,5.0,13.0,7.1,9.4,2.2
Platanus x hispanica,6.0,15.0,7.1,13.7,2.7
Platanus x hispanica,6.0,15.0,7.1,12.1,2.7
Platanus x hispanica,6.0,15.0,7.1,10.5,2.7
Platanus x hispanica,6.0,10.0,4.9,7.9,1.5
Platanus x hispanica,6.0,10.0,4.9,7.9,1.5
Platanus x hispanica,6.0,10.0,4.9,9.0,1.5
Platanus x hispanica,7.0,11.0,7.1,11.6,1.7
Platanus x hispanica,7.0,12.0,7.1,11.2,2.0
Platanus x hispanica,7.0,12.0,7.1,12.0,2.0
Platanus x hispanica,6.0,11.0,4.9,9.3,1.7
Platanus x hispanica,7.0,11.0,7.1,10.9,1.7
Platanus x hispanica,7.0,11.0,7.1,10.1,1.7
Platanus x hispanica,6.0,10.0,7.1,10.5,1.5
Platanus x hispanica,6.0,10.0,7.1,11.9,1.5
Platanus x hispanica,6.0,10.0,7.1,9.1,1.5
Celtis australis,5.0,15.0,12.6,18.6,0.8
Celtis australis,5.0,15.0,12.6,18.6,0.8
Celtis australis,5.0,14.0,12.6,20.5,0.8
Celtis australis,5.0,14.0,12.6,20.5,0.8
Celtis australis,4.0,12.0,7.1,10.7,0.7
Celtis australis,4.0,13.0,12.6,14.5,0.7
Celtis australis,4.0,13.0,12.6,16.7,0.7
Celtis australis,4.0,15.0,12.6,16.4,0.8
Celtis australis,5.0,15.0,12.6,17.4,0.8
Celtis australis,5.0,15.0,12.6,21.0,0.8
Celtis australis,5.0,14.0,12.6,20.5,0.8
Celtis australis,4.0,14.0,12.6,19.3,0.8
Celtis australis,4.0,12.0,12.6,18.3,0.7
Celtis australis,5.0,14.0,12.6,19.4,0.8
Celtis australis,5.0,14.0,12.6,20.5,0.8
Celtis australis,5.0,14.0,12.6,20.5,0.8
Celtis australis,4.0,12.0,12.6,14.1,0.7
Celtis australis,5.0,14.0,12.6,20.5,0.8
Celtis australis,5.0,12.0,7.1,9.4,0.7
Celtis australis,5.0,14.0,12.6,15.8,0.8
Celtis australis,5.0,14.0,12.6,17.0,0.8
Celtis australis,4.5,12.0,12.6,14.5,0.7
Celtis australis,5.0,13.0,12.6,20.0,0.7
Celtis australis,4.0,14.0,19.6,26.2,0.8
Celtis australis,5.0,13.0,12.6,20.0,0.7
Celtis australis,5.0,13.0,12.6,20.0,0.7
Celtis australis,4.5,11.0,7.1,10.1,0.7
Celtis australis,5.0,13.0,12.6,20.0,0.7
Celtis australis,4.5,11.0,7.1,10.7,0.7
Celtis australis,5.0,14.0,12.6,20.5,0.8
Celtis australis,5.0,13.0,12.6,20.0,0.7
Celtis australis,5.0,13.0,12.6,20.0,0.7
Celtis australis,5.0,13.0,12.6,15.4,0.7
Tilia x europaea,5.0,10.0,1.8,4.7,2.6
Tilia x europaea,5.0,10.0,1.8,4.7,2.6
Tilia x europaea,5.0,10.0,1.8,4.1,2.6
Tilia x europaea,5.0,10.0,1.8,4.1,2.6
Tilia x europaea,5.0,10.0,1.8,4.4,2.6
Tilia x europaea,5.0,10.0,1.8,4.1,2.6
Tilia x europaea,4.0,11.0,1.8,4.5,3.0
Tilia x europaea,5.0,9.0,1.8,4.2,2.3
Tilia x europaea,4.0,9.0,1.8,3.6,2.3
Tilia x europaea,5.0,10.0,1.8,5.3,2.6
Tilia x europaea,5.0,10.0,1.8,5.3,2.6
Tilia x europaea,5.0,10.0,1.8,5.3,2.6
Tilia x europaea,5.0,9.0,1.8,5.1,2.3
Tilia x europaea,4.0,8.0,1.8,3.7,2.0
Tilia x europaea,5.0,10.0,1.8,4.4,2.6
Tilia x europaea,4.0,10.0,1.8,4.9,2.6
Tilia x europaea,4.0,9.0,1.8,4.7,2.3
Tilia x europaea,4.0,9.0,1.8,3.9,2.3
Tilia x europaea,3.0,9.0,1.8,3.1,2.3
Tilia x europaea,5.0,10.0,1.8,5.3,2.6
Tilia x europaea,3.0,9.0,1.8,4.0,2.3
Tilia x europaea,5.0,10.0,1.8,5.3,2.6
Tilia x europaea,5.0,10.0,1.8,4.7,2.6
Tilia x europaea,5.0,10.0,1.8,4.4,2.6
Tilia x europaea,5.0,10.0,1.8,4.7,2.6
Tilia x europaea,5.0,10.0,1.8,5.3,2.6
Tilia x europaea,5.0,10.0,1.8,4.4,2.6
Tilia x europaea,4.0,10.0,1.8,4.9,2.6
Tilia x europaea,3.0,8.0,1.8,3.9,2.0
Tilia x europaea,4.0,10.0,1.8,3.8,2.6
Tilia x europaea,4.0,8.0,1.8,3.5,2.0
Tilia x europaea,4.0,9.0,1.8,4.7,2.3
Tilia x europaea,4.0,9.0,1.8,3.9,2.3
Tilia x europaea,5.0,10.0,1.8,5.3,2.6
Tilia x europaea,5.0,10.0,1.8,4.4,2.6
Tilia x europaea,5.0,10.0,1.8,5.0,2.6
Tilia x europaea,5.0,9.0,4.9,8.2,2.3
Tilia x europaea,5.0,9.0,4.9,7.7,2.3
Tilia x europaea,5.0,8.0,1.8,4.0,2.0
Tilia x europaea,5.0,8.0,1.8,4.3,2.0
Tilia x europaea,5.0,10.0,3.1,7.2,2.6
Tilia x europaea,5.0,9.0,4.9,8.8,2.3
Tilia x europaea,5.0,9.0,4.9,7.2,2.3
Tilia x europaea,5.0,9.0,4.9,9.3,2.3
Tilia x europaea,5.0,9.0,4.9,8.2,2.3
Tilia x europaea,5.0,11.0,7.1,11.7,3.0
Tilia x europaea,5.0,11.0,7.1,13.2,3.0
Tilia x europaea,4.0,9.0,4.9,8.7,2.3
Tilia x europaea,5.0,9.0,4.9,7.7,2.3
Tilia x europaea,5.0,9.0,4.9,9.3,2.3
Tilia x europaea,5.0,8.0,4.9,8.9,2.0
Tilia x europaea,4.0,9.0,4.9,7.7,2.3
Tilia x europaea,4.0,9.0,4.9,8.7,2.3
Tilia x europaea,4.0,9.0,4.9,8.7,2.3
Tilia x europaea,5.0,12.0,12.6,22.0,3.4
Tilia x europaea,4.0,12.0,12.6,21.9,3.4
Tilia x europaea,4.0,9.0,4.9,8.2,2.3
Celtis australis,4.0,4.0,3.1,3.6,0.3
Platanus x hispanica,18.0,80.0,176.7,507.0,31.0
Platanus x hispanica,18.0,70.0,201.1,626.7,25.6
Platanus x hispanica,24.0,75.0,227.0,680.7,28.3
Aesculus hippocastanum,15.0,50.0,176.7,478.1,13.7
Tilia x europaea,15.0,55.0,113.1,558.9,26.4
Aesculus hippocastanum,15.0,60.0,113.1,596.6,18.0
Aesculus hippocastanum,14.0,60.0,95.0,476.2,17.9
Aesculus hippocastanum,16.0,52.5,28.3,141.6,14.8
Celtis australis,6.0,17.0,12.6,23.4,0.9
Celtis australis,6.0,22.0,12.6,19.7,1.1
Celtis australis,7.0,23.0,19.6,41.8,1.1
Celtis australis,10.0,35.0,38.5,99.8,1.5
Celtis australis,9.0,28.0,50.3,122.1,1.3
Celtis australis,8.0,28.0,38.5,85.3,1.3
Celtis australis,12.0,29.0,113.1,346.2,1.3
Celtis australis,9.0,33.0,50.3,168.0,1.4
Celtis australis,9.0,28.0,38.5,88.7,1.3
Celtis australis,8.0,20.0,28.3,59.9,1.0
Tilia cordata,10.0,25.0,28.3,96.6,3.8
Tilia cordata,10.0,25.0,28.3,96.6,3.8
Celtis australis,10.0,25.0,28.3,71.1,1.2
Celtis australis,10.0,25.0,28.3,71.1,1.2
Celtis australis,10.0,29.0,50.3,165.8,1.3
Celtis australis,8.0,27.0,28.3,75.3,1.2
Celtis australis,8.0,25.0,28.3,73.2,1.2
Celtis australis,7.0,18.0,28.3,62.3,0.9
Celtis australis,8.0,22.0,50.3,108.6,1.1
Celtis australis,8.0,22.0,50.3,141.0,1.1
Celtis australis,8.0,16.0,28.3,55.4,0.8
Celtis australis,6.0,20.0,28.3,61.7,1.0
Celtis australis,15.0,50.0,113.1,399.4,1.9
Celtis australis,12.5,46.0,95.0,343.7,1.8
Celtis australis,13.0,46.0,113.1,434.2,1.8
Celtis australis,12.0,45.0,113.1,355.0,1.8
Celtis australis,13.0,46.0,113.1,434.2,1.8
Celtis australis,5.0,18.0,12.6,22.4,0.9
Carpinus betulus,6.2,17.0,10.1,21.2,3.2
Celtis australis,5.0,16.0,19.6,35.0,0.8
Celtis australis,5.0,14.0,12.6,20.5,0.8
Celtis australis,5.0,15.0,12.6,16.2,0.8
Celtis australis,3.5,12.0,12.6,13.7,0.7
Celtis australis,4.0,13.0,12.6,17.8,0.7
Tilia x europaea,20.0,94.5,113.1,692.4,51.6
Tilia x europaea,20.0,73.9,78.5,540.4,39.3
Celtis australis,14.0,80.0,12.6,65.4,1.2
Celtis australis,14.0,60.0,28.3,124.2,2.2
Celtis australis,15.0,70.0,50.3,251.0,1.8
Celtis australis,15.0,65.0,63.6,251.8,2.0
Celtis australis,18.0,85.0,95.0,514.0,0.8
Celtis australis,16.0,45.0,78.5,351.9,1.8
Celtis australis,15.0,45.0,176.7,427.1,1.8
Celtis australis,18.0,60.0,63.6,343.1,2.2
Carpinus betulus,8.0,20.0,12.6,37.5,3.9
Carpinus betulus,15.0,35.0,12.6,69.8,6.1
Carpinus betulus,8.0,20.0,12.6,28.9,3.9
Celtis australis,25.0,35.0,12.6,84.0,1.5
Aesculus hippocastanum,6.0,18.0,12.6,29.5,3.0
Aesculus hippocastanum,6.0,20.0,12.6,30.7,3.4
Aesculus hippocastanum,14.0,65.0,78.5,451.0,20.1
Aesculus hippocastanum,12.0,15.0,28.3,91.3,2.5
Aesculus hippocastanum,5.0,15.0,3.1,8.6,2.3
Tilia x europaea,5.0,8.0,4.9,6.9,2.0
Tilia x europaea,8.0,18.0,28.3,64.6,5.8
Carpinus betulus,3.0,3.0,3.1,4.4,0.5
Aesculus hippocastanum,12.0,50.0,78.5,372.0,13.6
Tilia x europaea,6.0,12.0,12.6,19.1,3.4
Carpinus betulus,20.0,60.0,12.6,101.0,0.4
Carpinus betulus,18.0,40.0,12.6,77.6,4.4
Carpinus betulus,25.0,70.0,12.6,162.9,0.5
Carpinus betulus,8.0,10.0,3.1,8.3,1.7
Carpinus betulus,8.0,10.0,3.1,9.5,1.7
Carpinus betulus,8.0,10.0,3.1,9.5,1.7
Carpinus betulus,8.0,10.0,3.1,8.9,1.7
Carpinus betulus,8.0,10.0,3.1,10.1,1.7
Carpinus betulus,7.0,6.0,1.8,4.4,1.0
Celtis australis,20.0,60.0,12.6,75.1,2.2
Celtis australis,20.0,25.0,12.6,55.2,1.2
Aesculus hippocastanum,20.0,30.0,19.6,93.0,6.8
Aesculus hippocastanum,8.0,30.0,12.6,39.9,6.3
Aesculus hippocastanum,6.0,25.0,12.6,33.2,4.7
Aesculus hippocastanum,12.0,62.0,78.5,453.5,18.6
Aesculus hippocastanum,12.0,60.0,50.3,218.4,17.7
Aesculus hippocastanum,7.0,18.0,12.6,26.0,3.0
Aesculus hippocastanum,8.0,28.0,28.3,83.6,5.7
Aesculus hippocastanum,10.0,38.0,28.3,115.5,9.0
Aesculus hippocastanum,8.0,40.0,28.3,107.2,9.6
Aesculus hippocastanum,9.0,45.0,28.3,117.0,11.4
Aesculus hippocastanum,12.0,70.0,50.3,230.6,22.3
Aesculus hippocastanum,12.0,60.0,50.3,283.5,17.7
Aesculus hippocastanum,9.0,50.0,50.3,213.5,13.4
Aesculus hippocastanum,14.0,80.0,50.3,334.9,27.4
Aesculus hippocastanum,6.0,30.0,28.3,83.2,6.2
Aesculus hippocastanum,12.0,40.0,19.6,82.2,9.8
Aesculus hippocastanum,8.0,50.0,38.5,168.4,13.3
Aesculus hippocastanum,7.0,35.0,12.6,37.4,7.8
Aesculus hippocastanum,8.0,40.0,12.6,41.7,9.6
Aesculus hippocastanum,8.0,25.0,3.1,11.3,4.8
Aesculus hippocastanum,8.0,60.0,50.3,220.4,17.5
Aesculus hippocastanum,6.0,28.0,12.6,34.5,5.6
Aesculus hippocastanum,5.0,25.0,7.1,16.2,4.7
Tilia cordata,6.0,13.0,7.1,15.1,1.6
Tilia cordata,5.0,10.0,7.1,12.8,1.1
Tilia cordata,4.0,7.0,4.9,7.9,0.7
Tilia cordata,4.0,8.0,3.1,5.1,0.8
Tilia cordata,3.5,10.0,4.9,8.7,1.1
Tilia cordata,6.0,11.0,7.1,12.6,1.3
Tilia cordata,5.0,8.0,3.1,5.5,0.8
Tilia cordata,3.0,7.0,0.8,2.6,0.7
Tilia cordata,6.0,12.0,12.6,19.1,1.4
Tilia cordata,7.0,19.0,28.3,76.2,2.6
Tilia cordata,8.0,26.0,50.3,148.7,4.0
Tilia cordata,7.0,21.0,38.5,115.5,3.0
Tilia cordata,8.0,22.0,38.5,94.1,3.2
Platanus x hispanica,10.0,32.0,95.0,264.9,8.2
Tilia x europaea,6.0,18.0,7.1,13.0,5.8
Carpinus betulus,6.0,13.0,12.6,22.0,2.3
Carpinus betulus,6.0,13.0,12.6,25.3,2.3
Carpinus betulus,6.0,13.0,19.6,46.2,2.3
Carpinus betulus,3.5,8.0,0.8,2.9,1.3
Carpinus betulus,6.0,14.0,19.6,44.7,2.5
Carpinus betulus,6.0,11.0,12.6,26.9,1.9
Tilia x europaea,6.0,19.0,9.6,18.6,6.3
Tilia x europaea,8.0,23.0,33.2,85.4,8.1
Tilia x europaea,11.0,38.0,78.5,299.4,16.0
Tilia x europaea,6.0,18.0,12.6,22.0,5.8
Celtis australis,13.0,52.0,132.7,481.2,2.0
Celtis australis,6.0,19.0,12.6,20.1,1.0
Celtis australis,6.0,20.0,12.6,20.5,1.0
Celtis australis,5.0,14.0,7.1,12.0,0.8
Celtis australis,6.0,26.0,12.6,22.5,1.2
Celtis australis,13.0,64.0,132.7,428.5,2.1
Celtis australis,8.3,30.1,35.2,85.1,1.3
Aesculus hippocastanum,22.0,75.0,314.2,1200.3,25.5
Celtis australis,8.3,30.1,35.2,96.9,1.3
Carpinus betulus,4.0,7.0,3.1,6.2,1.1
Carpinus betulus,4.0,7.0,7.1,11.2,1.1
Carpinus betulus,8.0,13.0,28.3,78.2,2.3
Celtis australis,8.3,30.1,35.2,91.0,1.3
Carpinus betulus,20.0,60.0,12.6,101.0,0.4
Celtis australis,8.3,30.1,35.2,91.0,1.3
Celtis australis,8.3,30.1,35.2,102.8,1.3
Celtis australis,8.0,22.0,28.3,53.9,1.1
Aesculus hippocastanum,10.0,22.0,50.3,186.5,4.1
Carpinus betulus,10.0,18.0,28.3,96.2,3.5
Carpinus betulus,5.0,12.0,12.6,20.1,2.1
Carpinus betulus,10.0,18.0,28.3,85.1,3.5
Carpinus betulus,10.0,23.0,28.3,86.8,4.7
Aesculus hippocastanum,10.0,50.0,78.5,405.1,13.4
Aesculus hippocastanum,10.0,50.0,78.5,312.0,13.4
Celtis australis,13.0,40.0,78.5,319.3,1.6
Aesculus hippocastanum,10.0,60.0,50.3,265.7,17.6
Aesculus hippocastanum,6.0,18.0,7.1,16.4,3.0
Aesculus hippocastanum,8.4,39.6,32.7,107.0,9.4
Aesculus hippocastanum,8.4,39.6,32.7,107.0,9.4
Aesculus hippocastanum,8.4,39.6,32.7,107.0,9.4
Celtis australis,8.3,30.1,35.2,102.8,1.3
Celtis australis,8.3,30.1,35.2,102.8,1.3
Celtis australis,8.3,30.1,35.2,85.1,1.3
Celtis australis,8.3,30.1,35.2,85.1,1.3
Celtis australis,8.3,30.1,35.2,96.9,1.3
Aesculus hippocastanum,11.0,35.0,50.3,200.8,8.0
Aesculus hippocastanum,10.0,45.0,50.3,240.1,11.5
Aesculus hippocastanum,11.0,40.0,50.3,210.5,9.7
Aesculus hippocastanum,6.0,24.0,19.6,52.9,4.5
Aesculus hippocastanum,11.0,44.0,78.5,371.8,11.2
Aesculus hippocastanum,7.0,40.0,201.1,652.8,9.5
Celtis australis,11.0,37.0,78.5,282.1,1.5
Celtis australis,12.0,35.0,78.5,299.0,1.5
Celtis australis,8.3,30.1,35.2,85.1,1.3
Aesculus hippocastanum,10.0,60.0,28.3,135.7,17.6
Celtis australis,8.3,30.1,35.2,91.0,1.3
Celtis australis,8.3,30.1,35.2,102.8,1.3
Celtis australis,8.3,30.1,35.2,102.8,1.3
Celtis australis,5.5,22.0,7.1,12.9,1.1
Celtis australis,8.3,30.1,35.2,96.9,1.3
Celtis australis,8.3,30.1,35.2,102.8,1.3
Celtis australis,8.3,30.1,35.2,102.8,1.3
Celtis australis,8.0,25.0,28.3,73.2,1.2
Celtis australis,9.0,29.0,50.3,132.9,1.3
Aesculus hippocastanum,8.0,45.0,28.3,92.5,11.4
Aesculus hippocastanum,6.0,30.0,19.6,57.2,6.2
Aesculus hippocastanum,12.0,30.0,28.3,116.6,6.5
Aesculus hippocastanum,12.0,40.0,50.3,203.4,9.8
Aesculus hippocastanum,7.0,28.0,12.6,28.3,5.6
Aesculus hippocastanum,9.0,42.0,38.5,136.3,10.3
Aesculus hippocastanum,12.0,40.0,28.3,121.6,9.8
Aesculus hippocastanum,10.0,62.0,78.5,411.9,18.5
Aesculus hippocastanum,8.0,50.0,28.3,89.3,13.3
Aesculus hippocastanum,9.0,35.0,12.6,44.8,7.9
Aesculus hippocastanum,4.0,10.0,3.1,6.5,1.3
Aesculus hippocastanum,12.0,55.0,50.3,259.2,15.6
Aesculus hippocastanum,8.0,45.0,12.6,46.1,11.4
Aesculus hippocastanum,12.0,40.0,28.3,129.0,9.8
Aesculus hippocastanum,12.0,50.0,28.3,123.6,13.6
Aesculus hippocastanum,10.0,60.0,50.3,204.6,17.6
Aesculus hippocastanum,6.0,18.0,7.1,17.5,3.0
Aesculus hippocastanum,12.0,60.0,38.5,210.3,17.7
Aesculus hippocastanum,6.0,18.0,7.1,15.4,3.0
Aesculus hippocastanum,4.0,10.0,12.6,21.3,1.3
Carpinus betulus,6.0,13.0,12.6,22.0,2.3
Carpinus betulus,6.0,7.0,3.1,6.3,1.1
Carpinus betulus,10.0,10.0,7.1,20.1,1.7
Carpinus betulus,6.0,13.0,12.6,28.6,2.3
Carpinus betulus,6.0,13.0,12.6,28.6,2.3
Carpinus betulus,6.0,13.0,12.6,28.6,2.3
Carpinus betulus,6.0,13.0,12.6,28.6,2.3
Carpinus betulus,6.0,13.0,12.6,25.3,2.3
Carpinus betulus,6.0,13.0,12.6,28.6,2.3
Celtis australis,12.0,60.0,153.9,517.5,2.2
Celtis australis,16.0,70.0,63.6,304.7,1.8
Celtis australis,12.0,45.0,50.3,159.2,1.8
Celtis australis,17.0,70.0,132.7,529.3,1.8
Celtis australis,14.0,60.0,95.0,434.0,2.2
Celtis australis,15.0,80.0,201.1,672.7,1.2
Celtis australis,25.0,35.0,12.6,94.9,1.5
Celtis australis,9.0,19.0,50.3,106.5,1.0
Celtis australis,3.0,3.0,1.8,2.1,0.3
Celtis australis,6.0,20.0,28.3,61.7,1.0
Celtis australis,7.0,25.0,78.5,228.1,1.2
Celtis australis,8.0,18.0,38.5,73.0,0.9
Celtis australis,8.0,17.0,38.5,92.8,0.9
Celtis australis,8.0,25.0,38.5,106.4,1.2
Celtis australis,8.0,18.0,19.6,35.5,0.9
Celtis australis,7.0,22.0,28.3,55.3,1.1
Celtis australis,13.0,60.0,153.9,394.8,2.2
Celtis australis,16.0,70.0,63.6,344.2,1.8
Celtis australis,9.0,15.0,7.1,13.4,0.8
Celtis australis,13.0,71.0,132.7,475.4,1.7
Celtis australis,3.5,13.0,12.6,18.3,0.7
Celtis australis,8.0,16.0,38.5,90.9,0.8
Celtis australis,8.0,18.0,38.5,94.7,0.9
Celtis australis,8.0,18.0,50.3,131.3,0.9
Celtis australis,8.0,15.0,38.5,73.5,0.8
Celtis australis,8.0,22.0,50.3,116.7,1.1
Celtis australis,8.0,22.0,28.3,53.9,1.1
Celtis australis,8.5,29.0,28.3,65.4,1.3
Celtis australis,10.0,22.0,56.7,133.1,1.1
Celtis australis,14.0,100.0,63.6,307.1,0.1
Celtis australis,12.0,90.0,50.3,264.0,0.4
Platanus x hispanica,24.0,120.0,283.5,873.4,5.5
Platanus x hispanica,22.0,140.0,254.5,951.3,0.7
Platanus x hispanica,16.0,180.0,132.7,706.5,8.1
Platanus x hispanica,28.0,130.0,176.7,708.3,3.1
Platanus x hispanica,25.0,140.0,254.5,827.7,0.7
Platanus x hispanica,25.0,160.0,176.7,782.4,0.3
Platanus x hispanica,24.0,130.0,254.5,866.5,3.1
Platanus x hispanica,24.0,140.0,283.5,922.2,0.7
Platanus x hispanica,30.0,210.0,415.5,1873.4,8.1
Platanus x hispanica,23.0,160.0,283.5,1038.9,0.3
Platanus x hispanica,21.0,100.0,254.5,844.7,34.9
Platanus x hispanica,16.0,100.0,113.1,496.6,34.9
Platanus x hispanica,21.0,110.0,227.0,779.3,30.1
Platanus x hispanica,17.0,130.0,95.0,611.7,3.1
Platanus x hispanica,18.0,120.0,201.1,619.4,5.5
Platanus x hispanica,16.0,140.0,254.5,889.5,0.7
Platanus x hispanica,23.0,160.0,380.1,1683.1,0.3
Platanus x hispanica,14.0,100.0,113.1,560.4,34.9
Platanus x hispanica,26.0,180.0,452.4,2039.9,8.1
Platanus x hispanica,12.0,130.0,113.1,646.3,3.1
Platanus x hispanica,18.0,160.0,314.2,1391.0,0.3
Platanus x hispanica,25.0,120.0,254.5,900.9,5.5
Platanus x hispanica,27.0,200.0,530.9,2394.0,8.1
Platanus x hispanica,28.0,130.0,490.9,2019.8,3.1
Platanus x hispanica,24.0,100.0,227.0,704.5,34.9
Platanus x hispanica,25.0,180.0,346.4,1472.0,8.1
Platanus x hispanica,24.0,180.0,530.9,2394.0,8.1
Platanus x hispanica,20.0,110.0,132.7,638.7,30.1
Tilia cordata,5.0,17.0,12.6,21.9,2.3
Tilia x europaea,12.0,28.0,63.6,269.4,10.6
Tilia x europaea,6.0,12.0,28.3,61.7,3.4
Tilia x europaea,6.0,15.0,19.6,43.3,4.6
Tilia x europaea,7.0,18.0,28.3,57.4,5.8
Tilia x europaea,8.6,18.0,50.3,142.0,5.8
Tilia x europaea,4.0,4.0,3.1,3.7,0.8
Tilia x europaea,6.0,14.0,7.1,15.4,4.2
Tilia x europaea,6.0,14.0,7.1,14.5,4.2
Tilia x europaea,6.0,13.7,12.6,25.9,4.0
Celtis australis,12.0,41.0,50.3,177.0,1.6
Celtis australis,12.0,41.0,95.0,328.2,1.6
Celtis australis,12.0,40.0,50.3,198.2,1.6
Celtis australis,17.0,70.0,63.6,353.1,1.8
Celtis australis,12.0,70.0,95.0,396.4,1.8
Celtis australis,18.0,85.0,113.1,456.7,0.8
Celtis australis,15.0,85.0,63.6,297.4,0.8
Celtis australis,9.0,85.0,113.1,407.8,0.8
Celtis australis,18.0,70.0,78.5,353.2,1.8
Celtis australis,17.0,85.0,50.3,234.3,0.8
Celtis australis,9.0,80.0,113.1,399.2,1.2
Celtis australis,9.0,65.0,50.3,164.4,2.0
Celtis australis,11.0,40.0,63.6,248.7,1.6
Celtis australis,15.0,20.0,12.6,37.7,1.0
Celtis australis,10.0,30.0,7.1,17.0,1.3
